ID,URL,ciudad,Zona,Barrio,Cordenada_latitud,cordenada_longitud,Tipo,piso,Estrato,Area_contruida,parqueaderos,Baños,Habitaciones,Precio
1564442091-10236,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4669953.aspx,Cali,Zona Norte,juanambú  ,3.45649004,-76.53723907,Apartamento,,6,171,2,4,4,810000000
1564442091-13699,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4334893.aspx,Cali,Zona Norte,juanambú  ,3.45649004,-76.53723907,Apartamento,1,6,100,1,3,2,390000000
1564442091-13967,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3838118.aspx,Cali,Zona Norte,juanambú  ,3.45649004,-76.53723907,Apartamento,3,6,144.7,,3,3,520000000
1564442091-14958,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3478844.aspx,Cali,Zona Norte,juanambú  ,3.45649004,-76.53723907,Apartamento,,6,178,2,4,3,480000000
1564442091-8924,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3226089.aspx,Cali,Zona Norte,juanambú  ,3.45649004,-76.53723907,Apartamento,10,6,274,3,4,2,1200000000
1564442091-7478,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3591137.aspx,Cali,Zona Norte,juanambú  ,3.455159426,-76.53726196,Apartamento,10,5,310,4,5,4,1250000000
1564437042-4742,https://www.fincaraiz.com.co/casa-en-venta/cali/colseguros-det-4387028.aspx,Cali,Zona Sur,colseguros  ,3.456929922,-76.537323,Casa,2,4,350,1,4,4,433000000
1564442091-10252,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4738419.aspx,Cali,Zona Sur,santa anita ,3.407839775,-76.53733063,Apartamento,1,5,88,1,2,3,300000000
1564437042-3610,https://www.fincaraiz.com.co/casa-en-venta/cali/centro-det-4581605.aspx,Cali,Zona Centro,centro  ,3.44745326,-76.53736877,Casa,,3,376,1,2,5,500000000
1564442091-14216,https://www.fincaraiz.com.co/apartamento-en-venta/cali/arboledas-det-4197853.aspx,Cali,Zona Oeste,arboledas  ,3.453235626,-76.53739929,Apartamento,4,6,196.55,1,2,4,387610800
1564437042-4715,https://www.fincaraiz.com.co/casa-en-venta/cali/juanambu-det-4297441.aspx,Cali,Zona Norte,juanambú  ,3.456063986,-76.53740692,Casa,,6,376,3,5,9,750000000
1564437042-313,https://www.fincaraiz.com.co/casa-en-venta/cali/san_antonio-det-4749726.aspx,Cali,Zona Oeste,san antonio ,3.446160316,-76.53741455,Casa,1,3,272,,2,0,440000000
